Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,wind
2019,9,12,6,0.26466524881887205
2019,9,12,7,0.22074085121715498
2019,9,12,8,0.22922796983473856
2019,9,12,9,0.24401325286143458
2019,9,12,10,0.2468804819380275
2019,9,12,11,0.24771180161816145
2019,9,12,12,0.25301480159818646
2019,9,12,13,0.2600062960109602
2019,9,12,14,0.2719451137353679
2019,9,12,15,0.29065699218091895
2019,9,12,16,0.33432058836945655
2019,9,12,17,0.40686153282312626
2019,9,12,18,0.4575874766893937
2019,9,12,19,0.482898657191119
2019,9,12,20,0.48979153476793913
2019,9,12,21,0.48320785759325113
2019,9,12,22,0.46554422951636315
2019,9,12,23,0.4459268684525803
2019,9,12,24,0.42535257336593335
2019,9,13,1,0.404425527316951
2019,9,13,2,0.382459924235265
2019,9,13,3,0.3604828959051517
2019,9,13,4,0.3402867751703886
2019,9,13,5,0.32106800133053826
2019,9,13,6,0.2528663841881768
2019,9,13,7,0.22122850601339186
2019,9,13,8,0.22483769647197854
2019,9,13,9,0.20481210315197956
2019,9,13,10,0.1847525949309411
2019,9,13,11,0.16961180512859156
2019,9,13,12,0.16272861543242223
2019,9,13,13,0.16439556941088326
2019,9,13,14,0.17508854322215706
2019,9,13,15,0.19686120146634728
2019,9,13,16,0.2583811368259623
2019,9,13,17,0.34520009441168414
2019,9,13,18,0.4110029502754874
2019,9,13,19,0.4523878185966578
2019,9,13,20,0.4731524070806533
2019,9,13,21,0.4746807482331776
2019,9,13,22,0.4685939282047995
2019,9,13,23,0.4529076920997578
2019,9,13,24,0.4322074330185318
2019,9,14,1,0.41315134741112397
2019,9,14,2,0.3928568802188839
2019,9,14,3,0.3744499070898325
2019,9,14,4,0.3638453275318884
2019,9,14,5,0.3546742658134028
2019,9,14,6,0.2834799380151182
2019,9,14,7,0.2541933528861338
2019,9,14,8,0.23623990619925503
2019,9,14,9,0.2089305127037513
2019,9,14,10,0.18967771729268293
2019,9,14,11,0.17315995749335275
2019,9,14,12,0.16282652596150854
2019,9,14,13,0.15989117910288558
2019,9,14,14,0.16480214080048558
2019,9,14,15,0.18156097942226224
2019,9,14,16,0.24009130751625177
2019,9,14,17,0.3301328133459185
2019,9,14,18,0.4097351830972196
2019,9,14,19,0.4520692482511475
2019,9,14,20,0.46711954952729245
2019,9,14,21,0.46380520235577155
2019,9,14,22,0.44991542605959994
2019,9,14,23,0.43117787992165185
2019,9,14,24,0.413102291428689
